	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
18	18	Default BKT Controller(1)	AD 8_10_plus_7_9	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	3	Single-KC	19	AD done	2	0.5356937421694357
19	19	Default BKT Controller(1)	AS 5_3_plus_6_3	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable8.R0C0	3	Single-KC	20	AS JCommTable8.R0C0	1	0.0
20	20	Default BKT Controller(1)	AS 5_3_plus_6_3	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:02	incorrect	2	0	0	JCommTable4.R0C0	3	Single-KC	21	AS JCommTable4.R0C0	1	1.702556058364255e-13
21	21	Default BKT Controller(1)	AS 5_3_plus_6_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable6.R1C0	4	Single-KC	22	AS JCommTable6.R1C0	2	0.6981441271044926
22	22	Default BKT Controller(1)	AS 5_3_plus_6_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable6.R0C0	4	Single-KC	23	AS JCommTable6.R0C0	2	0.7015208114969994
23	23	Default BKT Controller(1)	AS 5_3_plus_6_3	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	done	4	Single-KC	24	AS done	2	0.7269447285497386
24	24	Default BKT Controller(1)	AS 7_4_plus_2_4	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable6.R1C0	5	Single-KC	25	AS JCommTable6.R1C0	3	0.7039422035507811
25	25	Default BKT Controller(1)	AS 7_4_plus_2_4	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	done	5	Single-KC	26	AS done	3	0.8667875091908612
26	26	Default BKT Controller(1)	AS 7_4_plus_2_4	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable6.R0C0	5	Single-KC	27	AS JCommTable6.R0C0	3	0.7156595955675638
27	27	Default BKT Controller(1)	AD 8_6_plus_9_10	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	0	JCommTable6.R1C0	6	Single-KC	28	AD JCommTable6.R1C0	3	0.4698000059343396
28	28	Default BKT Controller(1)	AD 8_6_plus_9_10	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	1	1	0	JCommTable8.R0C0	4	Single-KC	29	AD JCommTable8.R0C0	3	0.7815277321217853
29	29	Default BKT Controller(1)	AD 8_6_plus_9_10	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	JCommTable6.R0C0	6	Single-KC	30	AD JCommTable6.R0C0	3	0.5417842042098581
30	30	Default BKT Controller(1)	AD 8_6_plus_9_10	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable4.R1C0	3	Single-KC	31	AD JCommTable4.R1C0	3	0.5807695942823683
31	31	Default BKT Controller(1)	AD 8_6_plus_9_10	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable4.R0C0	4	Single-KC	32	AD JCommTable4.R0C0	3	0.44404240946492085
32	32	Default BKT Controller(1)	AD 8_6_plus_9_10	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable5.R1C0	3	Single-KC	33	AD JCommTable5.R1C0	3	0.5144965111899362
33	33	Default BKT Controller(1)	AD 8_6_plus_9_10	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable5.R0C0	3	Single-KC	34	AD JCommTable5.R0C0	3	0.3265965974180192
34	34	Default BKT Controller(1)	AD 8_6_plus_9_10	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	done	6	Single-KC	35	AD done	3	0.7144341479336241
35	35	Default BKT Controller(1)	M 5_3_times_8_10	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable8.R0C0	5	Single-KC	36	M  JCommTable8.R0C0	1	0.0
36	36	Default BKT Controller(1)	M 5_3_times_8_10	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	JCommTable6.R0C0	7	Single-KC	37	M  JCommTable6.R0C0	1	0.328699061956338
37	37	Default BKT Controller(1)	M 5_3_times_8_10	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	1	done	7	Single-KC	38	M  done	1	0.40785442726437365
38	38	Default BKT Controller(1)	M 5_3_times_8_10	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	hint	1	1	1	JCommTable6.R1C0	7	Single-KC	39	M  JCommTable6.R1C0	1	0.5034087958700252
