transaction file rolled up into: wherewhenhownofoa_80_ptype_step_combine-rollup.txt

Found these KC models:
  (1) Selected
  (2) Single-KC
  (3) ptype_selection

Enter the number of which one you want to use: 
  Unstratified CV    Stratified CV    Student CV    Item CV
-----------------  ---------------  ------------  ---------
            0.274            0.273         0.276      0.274

KC Name                Intercept (logit)    Intercept (prob)    Slope
-------------------  -------------------  ------------------  -------
Random Controller(30)                     0.397               0.598
Random Controller(4)                      0.327               0.581
Random Controller(5)                      0.451               0.611
Random Controller(6)                      0.433               0.607
Random Controller(7)                      0.007               0.502
Random Controller(8)                      0.259               0.564
Random Controller(9)                      0.546               0.633
Streak Agent(1)                           0.317               0.579
Streak Agent(10)                          0.447               0.610
Streak Agent(11)                          0.429               0.606
Streak Agent(12)                          0.670               0.662
Streak Agent(13)                          0.329               0.582
Streak Agent(14)                          0.309               0.577
Streak Agent(15)                          0.332               0.582
Streak Agent(16)                          0.371               0.592
Streak Agent(17)                          0.595               0.645
Streak Agent(18)                          0.661               0.659
Streak Agent(19)                          0.513               0.626
Streak Agent(2)                           0.515               0.626
Streak Agent(20)                          0.016               0.504
Streak Agent(21)                          0.257               0.564
Streak Agent(22)                          0.569               0.639
Streak Agent(23)                          0.426               0.605
Streak Agent(24)                          0.471               0.616
Streak Agent(25)                          0.423               0.604
Streak Agent(26)                          0.298               0.574
Streak Agent(27)                          0.214               0.553
Streak Agent(28)                          0.468               0.615
Streak Agent(29)                          0.281               0.570
Streak Agent(3)                           0.624               0.651
Streak Agent(30)                          0.372               0.592
Streak Agent(4)                           0.672               0.662
Streak Agent(5)                           0.224               0.556
Streak Agent(6)                           0.606               0.647
Streak Agent(7)                           0.444               0.609
Streak Agent(8)                           0.472               0.616
Streak Agent(9)                           0.433               0.607
