	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	Prediction
20	21	BKT Controller(1)	AD 7_7_plus_6_3	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	1	1	1	AD JCommTable6.R1C0	2	Single-KC	21	JCommTable6.R1C0	6	0.37111310532280856
21	22	BKT Controller(1)	AD 7_7_plus_6_3	1	done	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	AD done	1	Single-KC	22	done	6	0.27789007641381025
22	23	BKT Controller(1)	AD 7_7_plus_6_3	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	AD JCommTable6.R0C0	3	Single-KC	23	JCommTable6.R0C0	6	0.42615016437558734
23	24	BKT Controller(1)	AD 7_7_plus_6_3	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	AD done	2	Single-KC	24	done	7	0.36943007453406396
24	25	BKT Controller(1)	M 7_2_times_7_4	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	M  JCommTable4.R1C0	1	Single-KC	25	JCommTable4.R1C0	2	1.312571624104425e-07
25	26	BKT Controller(1)	M 7_2_times_7_4	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	M  JCommTable5.R0C0	1	Single-KC	26	JCommTable5.R0C0	2	8.48914795437567e-08
26	27	BKT Controller(1)	M 7_2_times_7_4	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	M  JCommTable5.R1C0	1	Single-KC	27	JCommTable5.R1C0	2	2.023868174837818e-08
27	28	BKT Controller(1)	M 7_2_times_7_4	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	M  JCommTable8.R0C0	1	Single-KC	28	JCommTable8.R0C0	2	4.148350009820811e-09
28	29	BKT Controller(1)	M 7_2_times_7_4	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	M  JCommTable4.R0C0	1	Single-KC	29	JCommTable4.R0C0	2	6.890335249834405e-08
29	30	BKT Controller(1)	M 7_2_times_7_4	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	M  JCommTable6.R1C0	3	Single-KC	30	JCommTable6.R1C0	7	0.42719324336347947
30	31	BKT Controller(1)	M 7_2_times_7_4	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	incorrect	3	1	1	M  JCommTable6.R0C0	2	Single-KC	31	JCommTable6.R0C0	7	0.31070835741162206
31	32	BKT Controller(1)	M 7_2_times_7_4	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	M  JCommTable6.R1C0	4	Single-KC	32	JCommTable6.R1C0	8	0.4676300633030414
32	33	BKT Controller(1)	M 7_2_times_7_4	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	M  done	3	Single-KC	33	done	8	0.6683384522965224
33	34	BKT Controller(1)	AS 3_8_plus_3_8	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	AS JCommTable6.R0C0	3	Single-KC	34	JCommTable6.R0C0	8	0.5920326975483179
34	35	BKT Controller(1)	AS 3_8_plus_3_8	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	AS JCommTable6.R1C0	3	Single-KC	35	JCommTable6.R1C0	9	0.570216600728953
35	36	BKT Controller(1)	AS 3_8_plus_3_8	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AS JCommTable6.R0C0	4	Single-KC	36	JCommTable6.R0C0	9	0.6074228385640535
36	37	BKT Controller(1)	AS 3_8_plus_3_8	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AS done	4	Single-KC	37	done	9	0.9014593659679189
37	38	BKT Controller(1)	M 8_5_times_4_1	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	M  JCommTable4.R1C0	2	Single-KC	38	JCommTable4.R1C0	3	1.312571624104425e-07
38	39	BKT Controller(1)	M 8_5_times_4_1	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	1	M  JCommTable6.R0C0	3	Single-KC	39	JCommTable6.R0C0	10	0.3651909739306689
39	40	BKT Controller(1)	M 8_5_times_4_1	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	M  JCommTable6.R1C0	5	Single-KC	40	JCommTable6.R1C0	10	0.5084966184380152
40	41	BKT Controller(1)	M 8_5_times_4_1	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	M  done	4	Single-KC	41	done	10	0.8009186479254125
41	42	BKT Controller(1)	M 3_8_times_10_10	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	1	1	0	M  JCommTable6.R1C0	6	Single-KC	42	JCommTable6.R1C0	11	0.5492499354856235
42	43	BKT Controller(1)	M 3_8_times_10_10	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	M  JCommTable6.R0C0	4	Single-KC	43	JCommTable6.R0C0	11	0.423359383841898
43	44	BKT Controller(1)	M 3_8_times_10_10	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	M  done	5	Single-KC	44	done	11	0.8892804249244264
44	45	BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	AD JCommTable6.R1C0	3	Single-KC	45	JCommTable6.R1C0	12	0.37961553020608213
45	46	BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	2	0	0	AD JCommTable6.R0C0	4	Single-KC	46	JCommTable6.R0C0	12	0.43734695356181374
46	47	BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	AD JCommTable8.R0C0	2	Single-KC	47	JCommTable8.R0C0	3	0.7100205199164692
47	48	BKT Controller(1)	AD 8_1_plus_1_9	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	1	1	0	AD JCommTable4.R1C0	2	Single-KC	48	JCommTable4.R1C0	4	0.37621429193095096
