	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
20	21	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable5.R0C0	1	Single-KC	21	AD JCommTable5.R0C0	1	0.2448771184016675
21	22	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R0C0	7	Single-KC	22	AD JCommTable6.R0C0	3	0.26466703752021165
22	23	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable6.R1C0	7	Single-KC	23	AD JCommTable6.R1C0	3	0.23352010635559536
23	24	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable6.R0C0	8	Single-KC	24	AD JCommTable6.R0C0	4	0.2760734315011743
24	25	BKT Controller(1)	AD 3_10_plus_8_6	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	5	Single-KC	25	AD done	1	0.229564307656742
25	26	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable8.R0C0	2	Single-KC	26	AD JCommTable8.R0C0	2	0.676447593414778
26	27	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable4.R1C0	2	Single-KC	27	AD JCommTable4.R1C0	2	0.3577558169756181
27	28	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable4.R0C0	2	Single-KC	28	AD JCommTable4.R0C0	2	0.29557923380106593
28	29	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable5.R0C0	2	Single-KC	29	AD JCommTable5.R0C0	2	0.2645169801983327
29	30	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R0C0	9	Single-KC	30	AD JCommTable6.R0C0	5	0.2877790231678017
30	31	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable5.R1C0	2	Single-KC	31	AD JCommTable5.R1C0	2	0.3908932793031761
